  Lines                  Copies               Function name
     6636 (0.2%, 70.5%)     14 (0.0%, 33.6%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::IfElseStatement<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_map
     6580 (0.2%, 70.7%)     14 (0.0%, 33.6%)  <zokrates_ast::common::statements::_::<impl serde::de::Deserialize for zokrates_ast::common::statements::AssemblyConstraint<E>>::deserialize::__Visitor<E> as serde::de::Visitor>::visit_map
     6335 (0.2%, 70.9%)     28 (0.0%, 33.7%)  <zokrates_ast::common::solvers::_::<impl serde::de::Deserialize for zokrates_ast::common::solvers::Solver<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_enum
     6306 (0.2%, 71.1%)    562 (0.9%, 34.5%)  serde::de::Visitor::visit_map
     6167 (0.2%, 71.2%)      1 (0.0%, 34.5%)  primitive_types::U512::overflowing_pow
     6132 (0.2%, 71.4%)    492 (0.7%, 35.3%)  serde::de::Visitor::visit_unit
     5964 (0.2%, 71.6%)     42 (0.1%, 35.3%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::SelectExpression<T,E>>::deserialize::__Visitor<T,E> as serde::de::Visitor>::visit_seq
     5888 (0.2%, 71.8%)     16 (0.0%, 35.3%)  <zokrates_ast::common::statements::_::<impl serde::de::Deserialize for zokrates_ast::common::statements::LogStatement<E>>::deserialize::__Visitor<E> as serde::de::Visitor>::visit_map
     5836 (0.2%, 72.0%)     76 (0.1%, 35.5%)  serde_cbor::de::Deserializer<R>::parse_enum_map::{{closure}}
     5796 (0.2%, 72.2%)     42 (0.1%, 35.5%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::IdentifierExpression<I,E>>::deserialize::__Visitor<I,E> as serde::de::Visitor>::visit_seq
     5626 (0.2%, 72.3%)     22 (0.0%, 35.6%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::ValueExpression<V>>::deserialize::__Visitor<V> as serde::de::Visitor>::visit_map
     5426 (0.2%, 72.5%)      2 (0.0%, 35.6%)  <regex::re_trait::Matches<R> as core::iter::traits::iterator::Iterator>::next
     5404 (0.2%, 72.7%)     14 (0.0%, 35.6%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::ZirFunction<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_map
     5335 (0.2%, 72.8%)     11 (0.0%, 35.6%)  <ark_ff::fields::models::Fp256<P> as core::ops::arith::MulAssign<&ark_ff::fields::models::Fp256<P>>>::mul_assign
     5138 (0.2%, 73.0%)     14 (0.0%, 35.6%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::DefinitionStatement<A,E>>::deserialize::__Visitor<A,E> as serde::de::Visitor>::visit_map
     5124 (0.2%, 73.2%)     14 (0.0%, 35.6%)  <zokrates_ast::common::statements::_::<impl serde::de::Deserialize for zokrates_ast::common::statements::AssemblyAssignment<A,E>>::deserialize::__Visitor<A,E> as serde::de::Visitor>::visit_map
     5096 (0.2%, 73.3%)     14 (0.0%, 35.7%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::AssertionStatement<B,E>>::deserialize::__Visitor<B,E> as serde::de::Visitor>::visit_map
     5096 (0.2%, 73.5%)     14 (0.0%, 35.7%)  <zokrates_ast::zir::_::<impl serde::de::Deserialize for zokrates_ast::zir::MultipleDefinitionStatement<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_map
     5026 (0.2%, 73.6%)     14 (0.0%, 35.7%)  <zokrates_ast::zir::uint::_::<impl serde::de::Deserialize for zokrates_ast::zir::uint::UExpression<T>>::deserialize::__Visitor<T> as serde::de::Visitor>::visit_map
