 File  .text    Size                Crate Name
 0.1%   0.1%  7.7KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.7KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.4KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.4KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  7.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
56.2%  86.5%  5.5MiB                      And 7131 smaller methods. Use -n N to show more.
64.9% 100.0%  6.4MiB                      .text section size, the file size is 9.9MiB
